minute,kill_diff,gold_diff,turret_diff,turtle_diff,lord_diff,game_id,winner
3,2,1000.0,1,0,0,1,1
5,3,900.0,1,-1,0,1,1
10,7,2800.0,0,1,0,1,1
15,11,8300.0,6,1,2,1,1
20,11,2100.0,2,1,3,1,1
3,-1,-900.0,0,0,0,2,0
5,-3,-1800.0,-1,-1,0,2,0
10,-9,-8600.0,-4,-2,0,2,0
3,1,800.0,0,0,0,3,0
5,1,600.0,0,-1,0,3,0
10,1,1000.0,0,0,0,3,0
3,-1,100.0,0,0,0,4,1
5,-2,0.0,0,0,1,4,1
10,4,5800.0,2,-1,0,4,1
15,0,-1100.0,-2,-2,0,4,1
20,3,-1200.0,-3,-3,0,4,1
3,1,1200.0,0,0,0,5,1
5,1,2200.0,0,1,0,5,1
10,6,4000.0,2,2,0,5,1
3,1,900.0,0,0,0,6,1
5,3,1800.0,0,1,0,6,1
10,11,3700.0,2,2,0,6,1
15,14,4600.0,2,2,1,6,1
2,-4,-1200.0,0,0,0,7,1
5,-1,-200.0,0,-1,0,7,1
10,0,3400.0,2,0,0,7,1
15,1,9900.0,6,1,2,7,1
3,1,100.0,0,0,0,8,0
5,2,0.0,0,-1,0,8,0
10,5,-2200.0,-4,-1,0,8,0
3,-4,-1200.0,0,0,0,9,0
5,-6,-1600.0,0,-2,0,9,0
10,-15,-13700.0,-7,-2,-1,9,0
3,2,900.0,0,0,0,10,1
5,4,1700.0,0,2,0,10,1
10,1,-900.0,0,0,0,10,1
15,-3,-2700.0,0,0,-2,10,1
20,0,900.0,2,0,0,10,1
3,1,-800.0,0,0,0,11,1
5,2,-1200.0,0,1,0,11,1
10,2,4900.0,1,2,0,11,1
3,1,1200.0,0,0,0,12,0
5,2,1300.0,0,1,0,12,0
10,4,4200.0,1,2,0,12,0
15,0,-500.0,3,2,0,12,0
20,-2,-2200.0,2,2,0,12,0
25,-6,-3400.0,1,3,0,12,0
3,1,1800.0,0,0,0,13,1
5,2,2100.0,0,1,0,13,1
10,2,7600.0,4,2,1,13,1
3,-2,-700.0,0,0,0,14,1
5,-2,600.0,0,0,0,14,1
10,-4,1600.0,2,2,0,14,1
3,1,600.0,0,0,0,15,0
5,-2,-1000.0,0,-1,0,15,0
10,-10,-4000.0,-1,1,0,15,0
15,-12,-8900.0,-7,1,-1,15,0
3,-1,-1400.0,0,0,0,16,0
5,-5,-3000.0,-2,-1,0,16,0
10,-10,-7300.0,-3,-2,0,16,0
3,-2,-1000.0,0,0,0,17,0
5,-3,-1300.0,0,-1,0,17,0
10,-9,-7300.0,-3,-1,0,17,0
3,0,300.0,0,0,0,18,1
5,1,600.0,0,0,0,18,1
10,2,10400.0,5,2,0,18,1
15,13,11300.0,9,2,2,18,1
3,0,-200.0,0,0,0,19,1
5,-1,-300.0,0,-1,0,19,1
10,3,1800.0,0,0,0,19,1
3,-3,-1100.0,0,0,0,20,0
5,-4,-1600.0,0,-1,0,20,0
10,-5,-1300.0,-2,-1,0,20,0
15,-8,-3100.0,-6,-1,-1,20,0
20,-11,-3800.0,-7,-1,-1,20,0
